uid,浏览量,点赞量,观看作者数,观看作品数,观看作品平均时长,观看配乐数,完整观看数,去过的城市数,观看作品城市数
0,34,0,31,34,12.058823529411764,31,18,1,28
1,28,1,28,28,12.357142857142858,26,14,1,25
2,56,0,56,56,10.357142857142858,47,19,3,45
3,117,1,116,117,9.982905982905983,89,60,1,76
4,123,0,117,123,10.853658536585366,94,77,1,84
5,23,0,23,23,13.695652173913043,23,19,1,22
6,63,0,55,63,10.666666666666666,62,31,3,41
7,63,0,61,63,12.11111111111111,56,6,3,53
8,113,0,103,113,10.68141592920354,101,48,1,63
9,8,0,8,8,8.5,8,5,1,8
10,263,1,199,263,11.144486692015208,182,75,1,87
11,22,0,20,22,13.227272727272727,20,11,1,16
12,112,0,111,112,10.267857142857142,105,67,1,65
13,39,0,37,39,10.871794871794872,34,19,1,32
14,107,0,107,107,11.542056074766355,86,43,1,77
15,100,0,98,100,10.9,84,44,3,73
16,41,0,37,41,14.146341463414634,39,17,1,30
17,9,0,9,9,12.222222222222221,9,3,1,9
18,165,1,158,165,11.327272727272728,111,31,1,25
19,18,0,18,18,12.5,17,4,1,17
20,27,0,27,27,9.333333333333334,26,20,1,22
21,29,0,29,29,13.482758620689655,27,14,1,27
22,192,0,184,192,11.927083333333334,155,111,1,105
23,62,0,60,62,9.887096774193548,52,16,2,46
24,29,0,29,29,9.620689655172415,28,6,3,26
25,33,0,33,33,10.121212121212121,30,11,1,28
26,11,0,10,11,10.818181818181818,11,6,1,9
27,44,0,44,44,10.977272727272727,44,22,1,38
28,190,0,180,190,11.41578947368421,166,54,2,88
29,47,0,47,47,10.382978723404255,46,12,2,40
30,51,0,50,51,11.843137254901961,42,14,1,43
31,11,0,11,11,8.909090909090908,10,2,1,11
32,73,0,72,73,10.89041095890411,66,44,2,53
33,45,0,45,45,10.511111111111111,41,26,1,36
34,65,0,64,65,11.338461538461539,60,9,1,47
35,18,0,18,18,13.88888888888889,17,11,1,16
36,19,0,19,19,11.473684210526315,18,7,1,14
37,110,9,107,110,11.072727272727272,93,41,1,78
38,268,0,247,268,10.664179104477611,230,67,2,80
39,53,0,51,53,11.150943396226415,48,10,1,37
40,98,2,97,98,12.112244897959183,83,29,1,74
41,49,0,49,49,10.040816326530612,43,9,1,39
42,96,0,86,96,10.46875,80,32,1,56
43,199,50,196,199,10.899497487437186,170,48,3,93
44,65,0,65,65,10.338461538461539,59,28,1,48
45,28,0,28,28,12.357142857142858,26,14,1,28
46,118,0,116,118,10.254237288135593,94,49,1,73
47,118,0,109,118,11.101694915254237,93,44,1,67
48,182,0,180,182,11.346153846153847,150,85,1,107
49,50,0,49,50,11.42,44,6,1,36
50,7,0,7,7,8.428571428571429,7,3,1,6
51,142,0,118,142,12.316901408450704,121,33,1,79
52,147,0,142,147,11.326530612244898,123,19,1,80
53,450,1,388,450,11.144444444444444,333,127,1,151
54,156,1,150,156,10.692307692307692,125,35,1,84
55,11,0,11,11,12.909090909090908,11,3,2,11
56,34,0,34,34,11.147058823529411,34,18,1,32
57,54,0,47,54,11.24074074074074,52,14,1,33
58,3,0,3,3,13.666666666666666,3,3,1,3
59,226,0,211,226,11.261061946902656,189,108,1,106
60,36,0,36,36,9.944444444444445,35,13,1,29
61,22,0,21,22,11.090909090909092,22,8,1,18
62,62,0,62,62,11.46774193548387,58,12,1,47
63,42,0,41,42,12.452380952380953,39,22,1,35
64,194,0,181,194,11.195876288659793,170,59,1,100
65,187,0,184,187,11.663101604278076,120,93,1,117
66,159,0,158,159,11.28930817610063,122,87,1,106
67,53,0,45,53,10.716981132075471,40,33,1,19
68,120,0,118,120,11.366666666666667,106,31,1,79
69,107,0,94,107,10.80373831775701,93,19,1,71
70,27,0,27,27,11.074074074074074,26,9,1,24
71,70,0,66,70,10.642857142857142,62,7,1,48
72,210,0,189,210,10.91904761904762,175,135,1,100
73,8,0,8,8,11.0,7,3,1,8
74,21,0,21,21,13.19047619047619,19,12,1,19
75,18,0,18,18,10.944444444444445,17,1,1,17
76,1,0,1,1,35.0,1,1,1,1
77,30,0,30,30,9.866666666666667,28,6,1,28
78,134,0,132,134,10.619402985074627,107,23,1,89
79,38,4,38,38,9.81578947368421,38,15,2,35
80,614,1,573,614,11.003257328990228,442,71,1,178
81,15,0,15,15,12.2,15,7,2,14
82,73,0,71,73,12.095890410958905,65,34,1,55
83,30,0,29,30,10.433333333333334,26,20,1,26
84,118,1,107,118,10.957627118644067,92,27,1,67
85,7,0,7,7,10.142857142857142,7,4,1,7
86,15,0,15,15,14.066666666666666,15,9,1,15
87,44,0,39,44,10.795454545454545,40,31,1,26
88,30,0,30,30,12.7,29,8,1,25
89,171,0,149,171,10.91812865497076,135,78,1,76
90,20,0,20,20,12.75,20,6,1,19
91,59,0,58,59,10.372881355932204,52,23,1,38
92,190,3,183,190,11.410526315789474,169,40,1,81
93,153,1,150,153,11.013071895424837,125,61,1,96
94,23,0,23,23,11.043478260869565,21,15,1,20
95,46,34,45,46,11.891304347826088,42,30,1,34
96,27,0,27,27,8.814814814814815,27,12,1,25
97,22,2,22,22,14.772727272727273,20,12,1,21
98,145,2,140,145,11.379310344827585,130,56,3,81
99,171,0,169,171,10.994152046783626,137,88,1,102
100,2,0,2,2,9.5,2,0,1,2
101,18,0,18,18,10.722222222222221,16,12,1,15
102,559,0,543,559,11.273703041144902,422,54,1,173
103,51,0,50,51,10.03921568627451,39,39,2,40
104,5,0,5,5,11.0,5,2,3,5
105,166,0,163,166,11.620481927710843,136,45,2,97
106,34,0,34,34,11.147058823529411,32,8,1,29
107,7,0,7,7,13.0,7,5,1,7
108,72,3,70,72,9.583333333333334,62,23,1,58
109,117,0,112,117,12.521367521367521,110,40,1,74
110,315,0,296,315,11.34920634920635,235,18,1,116
111,34,0,34,34,11.029411764705882,32,3,1,29
112,38,0,38,38,11.210526315789474,36,7,2,35
113,27,1,26,27,10.444444444444445,27,11,1,19
114,78,20,77,78,11.038461538461538,61,12,1,58
115,24,0,24,24,8.625,23,9,2,21
116,71,0,69,71,10.169014084507042,60,28,1,47
117,8,0,8,8,9.25,7,8,2,8
118,102,1,100,102,10.852941176470589,84,46,1,62
119,108,0,105,108,10.222222222222221,95,56,1,73
120,131,0,128,131,10.022900763358779,102,21,4,82
121,34,0,34,34,10.676470588235293,31,13,3,28
122,94,0,93,94,9.882978723404255,84,30,1,65
123,3,0,3,3,12.333333333333334,3,2,1,3
124,38,0,37,38,13.842105263157896,37,9,3,36
125,578,1,554,578,10.688581314878892,352,284,1,205
126,138,0,123,138,9.869565217391305,119,37,1,77
127,128,0,122,128,11.5546875,119,41,1,66
128,110,0,103,110,10.781818181818181,90,33,1,66
129,375,1,369,375,10.562666666666667,293,83,8,145
130,227,1,220,227,10.590308370044053,183,66,1,106
131,64,2,57,64,11.140625,64,7,1,47
132,106,0,103,106,11.70754716981132,97,55,1,73
133,53,0,53,53,12.358490566037736,45,17,1,45
134,217,0,211,217,11.84331797235023,186,54,2,126
135,7,0,7,7,9.857142857142858,7,4,1,7
136,12,0,12,12,12.5,12,6,1,11
137,33,0,33,33,11.06060606060606,30,17,1,31
138,147,0,140,147,10.217687074829932,132,89,1,79
139,15,0,15,15,12.2,15,9,1,14
140,28,0,28,28,10.142857142857142,28,15,1,28
141,14,0,14,14,11.642857142857142,14,7,1,12
142,115,0,115,115,11.060869565217391,85,32,1,81
143,103,0,103,103,11.864077669902912,91,16,1,69
144,33,0,32,33,10.303030303030303,31,11,1,20
145,68,46,68,68,12.014705882352942,60,8,1,52
146,251,0,239,251,10.450199203187251,225,43,1,115
147,149,0,141,149,11.442953020134228,137,16,6,89
148,90,0,86,90,11.733333333333333,71,23,1,67
149,69,0,69,69,12.55072463768116,52,39,1,57
150,38,2,38,38,10.973684210526315,35,12,1,24
151,22,0,22,22,9.090909090909092,22,15,1,19
152,17,0,17,17,13.882352941176471,16,7,1,14
153,2,0,2,2,9.5,2,1,1,2
154,24,0,24,24,11.708333333333334,21,12,1,19
155,384,0,360,384,11.434895833333334,268,110,1,144
156,35,0,35,35,9.971428571428572,30,1,1,33
157,42,0,42,42,12.452380952380953,40,19,1,37
158,11,0,11,11,10.181818181818182,10,7,1,11
159,23,0,23,23,11.0,23,15,1,21
160,197,0,186,197,10.532994923857869,166,30,1,108
162,82,0,82,82,10.451219512195122,73,45,1,65
163,64,0,61,64,11.328125,53,40,1,49
164,34,0,34,34,10.882352941176471,34,6,1,29
165,375,4,322,375,10.704,294,135,1,122
166,13,0,13,13,11.461538461538462,13,7,1,12
167,37,0,36,37,10.91891891891892,34,21,1,29
168,45,10,45,45,11.755555555555556,42,24,1,36
169,120,0,119,120,11.316666666666666,107,25,1,82
170,111,0,108,111,10.73873873873874,88,22,3,79
171,40,0,40,40,10.05,37,24,2,36
172,11,0,11,11,9.090909090909092,11,8,1,10
173,120,0,120,120,12.6,99,43,2,82
174,13,0,13,13,9.923076923076923,13,8,1,12
175,21,0,20,21,10.047619047619047,18,9,1,17
176,121,0,116,121,11.090909090909092,98,4,2,83
177,170,0,166,170,10.511764705882353,137,92,1,106
178,47,4,39,47,10.02127659574468,41,36,1,22
179,147,0,143,147,11.068027210884354,130,42,1,80
180,24,3,24,24,9.75,23,12,2,22
181,19,0,19,19,10.68421052631579,19,11,1,17
182,58,0,58,58,11.482758620689655,43,22,2,34
183,181,0,176,181,12.370165745856353,136,76,2,77
184,48,0,48,48,10.916666666666666,44,21,1,32
185,39,0,39,39,11.538461538461538,35,12,1,35
186,20,0,20,20,12.6,19,4,1,16
187,85,0,82,85,11.75294117647059,72,16,1,66
188,161,0,152,161,10.832298136645962,134,70,2,89
189,77,0,71,77,11.584415584415584,63,17,1,46
190,141,0,139,141,10.879432624113475,121,77,1,93
191,42,1,42,42,9.642857142857142,41,20,1,27
192,83,0,81,83,12.228915662650602,77,39,3,62
193,56,0,56,56,11.178571428571429,51,27,1,34
195,45,0,45,45,10.422222222222222,43,23,1,39
196,261,1,256,261,11.363984674329503,194,64,1,124
197,22,1,21,22,12.590909090909092,17,4,1,18
198,57,0,56,57,9.68421052631579,53,34,1,38
199,14,0,14,14,13.428571428571429,13,9,2,14
200,219,0,198,219,10.63013698630137,161,30,4,106
201,73,0,72,73,11.36986301369863,62,28,1,55
202,29,0,25,29,11.379310344827585,23,12,2,18
203,3,0,3,3,11.666666666666666,3,0,1,3
204,16,0,15,16,11.5625,16,11,1,14
205,44,1,41,44,10.068181818181818,43,12,1,29
206,53,3,51,53,10.735849056603774,48,21,1,42
207,127,0,124,127,11.645669291338583,109,18,1,84
208,85,0,83,85,10.458823529411765,65,9,1,68
209,129,0,123,129,11.108527131782946,110,42,1,71
210,51,0,48,51,11.607843137254902,43,30,1,40
211,28,0,28,28,11.357142857142858,25,21,1,26
212,40,0,40,40,9.8,40,6,1,30
213,2,0,2,2,9.5,2,1,1,2
214,27,0,27,27,11.296296296296296,23,17,1,23
215,58,0,58,58,11.53448275862069,51,26,1,47
216,84,0,80,84,11.642857142857142,71,6,2,60
217,15,0,15,15,9.0,15,8,1,12
218,106,0,98,106,11.179245283018869,91,38,1,59
219,44,0,40,44,9.704545454545455,43,22,1,32
220,195,3,188,195,10.953846153846154,177,80,1,59
221,148,1,140,148,10.824324324324325,126,29,1,88
222,65,0,59,65,11.23076923076923,60,23,1,50
223,4,0,4,4,17.0,4,2,1,4
224,17,0,15,17,10.235294117647058,17,5,3,15
225,777,0,728,777,10.675675675675675,547,53,2,172
226,13,0,13,13,8.384615384615385,12,1,1,12
228,79,0,79,79,10.936708860759493,73,38,3,64
229,20,0,20,20,14.0,20,17,1,17
230,28,0,27,28,11.464285714285714,28,21,1,22
231,71,0,71,71,11.52112676056338,59,27,1,50
232,43,0,40,43,12.395348837209303,40,21,1,29
233,28,0,28,28,11.857142857142858,26,19,2,27
234,58,0,56,58,11.120689655172415,56,23,1,48
235,193,0,191,193,10.652849740932643,131,67,1,96
236,34,0,34,34,11.294117647058824,31,22,1,28
237,51,0,51,51,11.137254901960784,37,15,2,42
238,64,0,64,64,11.515625,57,38,1,53
239,353,0,330,353,11.158640226628895,284,90,1,144
240,235,0,222,235,10.327659574468084,199,78,1,105
241,11,0,11,11,10.909090909090908,11,7,1,11
242,160,1,154,160,11.425,147,104,1,77
243,162,1,159,162,11.216049382716049,131,60,1,86
244,98,0,97,98,11.459183673469388,79,46,1,74
245,127,2,123,127,10.472440944881889,109,39,1,69
246,77,0,76,77,12.402597402597403,64,12,1,61
247,100,0,99,100,12.17,82,24,1,72
248,15,0,15,15,9.933333333333334,15,9,2,14
249,153,0,150,153,10.718954248366012,127,79,1,82
250,96,0,87,96,13.59375,82,58,2,71
251,82,0,77,82,10.146341463414634,69,17,1,58
252,16,0,15,16,12.375,15,14,1,13
253,33,1,33,33,10.636363636363637,31,13,1,26
254,73,0,72,73,12.424657534246576,55,29,1,58
255,133,0,133,133,11.864661654135338,115,64,1,84
